NA27	NET
Καισαρείας	of
Φιλίππου	Philippi
Ἰωάννην	John
Ἠλίαν	Elijah
Πέτρος	Peter
χριστός	Christ
Πέτρος	Peter
Πέτρῳ	Peter
σατανᾶ	Satan
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Ἠλίας	Elijah
Μωϋσεῖ	Moses
Ἰησοῦ	Jesus
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	to
Μωϋσεῖ	Moses
Μωϋσεῖ	for
Ἠλίᾳ	Elijah
Ἠλίᾳ	for
Ἰησοῦν	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Καφαρναούμ	Capernaum
Ἰωάννης	John
Ἰησοῦς	Jesus
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἰορδάνου	Jordan
Φαρισαῖοι	Pharisees
Μωϋσῆς	Moses
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰάκωβος	James
Ἰωάννης	John
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰακώβου	James
Ἰωάννου	John
Ἰησοῦς	Jesus
Ἰεριχώ	Jericho
Τιμαίου	Timaeus
Τιμαίου	of
Βαρτιμαῖος	Bartimaeus
Ἰησοῦς	Jesus
Δαυὶδ	David
Δαυὶδ	of
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Βηθφαγὴ	Bethphage
Βηθανίαν	Bethany
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Δαυίδ	David
Ἱεροσόλυμα	Jerusalem
Βηθανίαν	Bethany
Βηθανίας	Bethany
Ἱεροσόλυμα	Jerusalem
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ἰωάννου	John’s
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἡρῳδιανῶν	Herodians
Καίσαρι	Caesar
Καίσαρι	to
Καίσαρος	Caesar’s
Ἰησοῦς	Jesus
Καίσαρος	Caesar’s
Καίσαρι	Caesar
Καίσαρι	to
Σαδδουκαῖοι	Sadducees
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Μωϋσέως	Moses
Μωϋσέως	of
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἰακώβ	Jacob
Ἰακώβ	of
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Δαυὶδ	David
Δαυὶδ	David
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰάκωβος	James
Ἰωάννης	John
Ἀνδρέας	Andrew
Ἰησοῦς	Jesus
Ἰουδαίᾳ	Judea
χριστός	Christ
Βηθανίᾳ	Bethany
Σίμωνος	Simon
Σίμωνος	of
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰσκαριὼθ	Iscariot
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Πέτρος	Peter
Ἰησοῦς	Jesus
Γεθσημανὶ	Gethsemane
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Πέτρῳ	Peter
Πέτρῳ	to
Σίμων	Simon
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦν	Jesus
χριστὸς	Christ
Ἰησοῦς	Jesus
Πέτρου	Peter
Πέτρον	Peter
Ἰησοῦ	Jesus
Πέτρῳ	Peter
Πέτρῳ	to
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Πιλάτῳ	Pilate
Πιλάτῳ	to
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Πιλᾶτον	Pilate
Βαραββᾶς	Barabbas
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Ἰησοῦν	Jesus
Σίμωνα	Simon
Κυρηναῖον	Cyrene
Κυρηναῖον	of
Ἀλεξάνδρου	Alexander
Ἀλεξάνδρου	of
Ῥούφου	Rufus
Γολγοθᾶν	Golgotha
χριστὸς	Christ
Ἰσραὴλ	Israel
Ἰσραὴλ	of
Ἰησοῦς	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἰησοῦς	Jesus
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰακώβου	James
Ἰακώβου	of
Ἰωσῆτος	Joses
Ἰωσῆτος	of
Σαλώμη	Salome
Γαλιλαίᾳ	Galilee
Ἱεροσόλυμα	Jerusalem
Ἰωσὴφ	Joseph
Ἁριμαθαίας	Arimathea
Πιλᾶτον	Pilate
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πιλᾶτος	Pilate
Ἰωσήφ	Joseph
Ἰωσήφ	to
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰωσῆτος	Joses
Ἰωσῆτος	of
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Μαρία	Mary
Ἰακώβου	James
Ἰακώβου	of
Σαλώμη	Salome
Ἰησοῦν	Jesus
Πέτρῳ	Peter
Γαλιλαίαν	Galilee
Μαρίᾳ	Mary
Μαρίᾳ	to
Μαγδαληνῇ	Magdalene
Ἰησοῦς	Jesus
Θεόφιλε	Theophilus
Ἡρῴδου	Herod
Ἡρῴδου	of
Ἰουδαίας	Judea
Ἰουδαίας	of
Ζαχαρίας	Zechariah
Ἀβιά	Abijah
Ἀβιά	of
Ἀαρὼν	Aaron
Ἀαρὼν	of
Ἐλισάβετ	Elizabeth
Ἐλισάβετ	Elizabeth
Ζαχαρίας	Zechariah
Ζαχαρία	Zechariah
Ἐλισάβετ	Elizabeth
Ἰωάννην	John
Ἰσραὴλ	Israel
Ἰσραὴλ	of
Ἠλίου	Elijah
Ἠλίου	of
Ζαχαρίας	Zechariah
Γαβριὴλ	Gabriel
Ζαχαρίαν	Zechariah
Ἐλισάβετ	Elizabeth
Γαβριὴλ	Gabriel
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ναζαρὲθ	Nazareth
Ἰωσὴφ	Joseph
Μαριάμ	Mary
Μαριάμ	Mary
Ἰησοῦν	Jesus
Δαυὶδ	David
Ἰακὼβ	Jacob
Ἰακὼβ	of
Μαριὰμ	Mary
Ἐλισάβετ	Elizabeth
Μαριάμ	Mary
Μαριὰμ	Mary
Ἰούδα	Judah
Ἰούδα	of
Ζαχαρίου	Zechariah’s
Ἐλισάβετ	Elizabeth
Μαρίας	Mary’s
Ἐλισάβετ	Elizabeth
Ἐλισάβετ	Elizabeth
Μαριάμ	Mary
Ἰσραὴλ	Israel
Ἀβραὰμ	Abraham
Ἀβραὰμ	to
Μαριὰμ	Mary
Ἐλισάβετ	Elizabeth
Ἐλισάβετ	for
Ζαχαρίαν	Zechariah
Ἰωάννης	John
Ἰωάννης	John
Ἰουδαίας	Judea
Ἰουδαίας	of
Ζαχαρίας	Zechariah
Ἰσραήλ	Israel
Ἰσραήλ	of
Δαυὶδ	David
Ἀβραὰμ	Abraham
Ἰσραήλ	Israel
Καίσαρος	Caesar
Αὐγούστου	Augustus
Συρίας	Syria
Συρίας	of
Κυρηνίου	Quirinius
Ἰωσὴφ	Joseph
Γαλιλαίας	Galilee
Ναζαρὲθ	Nazareth
Ναζαρὲθ	of
Ἰουδαίαν	Judea
Δαυὶδ	David
Δαυὶδ	of
Βηθλέεμ	Bethlehem
Δαυίδ	David
Δαυίδ	of
Μαριὰμ	Mary
χριστὸς	Christ
Δαυίδ	David
Δαυίδ	of
Βηθλέεμ	Bethlehem
Μαριὰμ	Mary
Ἰωσὴφ	Joseph
Μαριὰμ	Mary
Ἰησοῦς	Jesus
Μωϋσέως	Moses
Μωϋσέως	of
Ἱεροσόλυμα	Jerusalem
Ἰερουσαλὴμ	Jerusalem
Συμεὼν	Simeon
Ἰσραήλ	Israel
Ἰσραήλ	of
χριστὸν	Christ
Ἰησοῦν	Jesus
Ἰσραήλ	Israel
Συμεὼν	Simeon
Μαριὰμ	Mary
Ἰσραὴλ	Israel
Ἅννα	Anna
Φανουήλ	Phanuel
Φανουήλ	of
Ἀσήρ	Asher
Ἀσήρ	of
Γαλιλαίαν	Galilee
Ναζαρέθ	Nazareth
Ναζαρέθ	of
Ἰερουσαλὴμ	Jerusalem
Ἰησοῦς	Jesus
Ἰερουσαλήμ	Jerusalem
Ἰερουσαλὴμ	Jerusalem
Ναζαρὲθ	Nazareth
Ἰησοῦς	Jesus
Τιβερίου	Tiberius
Τιβερίου	of
Καίσαρος	Caesar
Ποντίου	Pontius
Πιλάτου	Pilate
Ἰουδαίας	Judea
Ἰουδαίας	of
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἡρῴδου	Herod
Φιλίππου	Philip
Λυσανίου	Lysanias
Ἀβιληνῆς	Abilene
Ἀβιληνῆς	of
Ἅννα	Annas
Ἅννα	of
Καϊάφα	Caiaphas
Ἰωάννην	John
Ζαχαρίου	Zechariah
Ζαχαρίου	of
Ἰορδάνου	Jordan
Ἠσαΐου	Isaiah
Ἠσαΐου	of
Ἀβραάμ	Abraham
Ἀβραάμ	Abraham
Ἀβραάμ	for
Ἰωάννου	John
χριστός	Christ
Ἰωάννης	John
Ἡρῴδης	Herod
Ἡρῳδιάδος	Herodias
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰωσὴφ	Joseph
Ἰωσὴφ	of
Ἠλὶ	Heli
Ἠλὶ	of
Μαθθὰτ	Matthat
Μαθθὰτ	of
Λευὶ	Levi
Λευὶ	of
Μελχὶ	Melchi
Μελχὶ	of
Ἰανναὶ	Jannai
Ἰανναὶ	of
Ἰωσὴφ	Joseph
Ἰωσὴφ	of
Ματταθίου	Mattathias
Ματταθίου	of
Ἀμὼς	Amos
Ἀμὼς	of
Ναοὺμ	Nahum
Ναοὺμ	of
Ἑσλὶ	Esli
Ἑσλὶ	of
Ναγγαὶ	Naggai
Ναγγαὶ	of
Μάαθ	Maath
Μάαθ	of
Ματταθίου	Mattathias
Ματταθίου	of
Σεμεῒν	Semein
Σεμεῒν	of
Ἰωσὴχ	Josech
Ἰωσὴχ	of
Ἰωδὰ	Joda
Ἰωδὰ	of
Ἰωανὰν	Joanan
Ἰωανὰν	of
Ῥησὰ	Rhesa
Ῥησὰ	of
Ζοροβαβὲλ	Zerubbabel
Ζοροβαβὲλ	of
Σαλαθιὴλ	Shealtiel
Σαλαθιὴλ	of
Νηρὶ	Neri
Νηρὶ	of
Μελχὶ	Melchi
Μελχὶ	of
Ἀδδὶ	Addi
Ἀδδὶ	of
Κωσὰμ	Cosam
Κωσὰμ	of
Ἐλμαδὰμ	Elmadam
Ἐλμαδὰμ	of
Ἢρ	Er
Ἢρ	of
Ἰησοῦ	Joshua
Ἰησοῦ	of
Ἐλιέζερ	Eliezer
Ἐλιέζερ	of
Ἰωρὶμ	Jorim
Ἰωρὶμ	of
Μαθθὰτ	Matthat
Μαθθὰτ	of
Λευὶ	Levi
Λευὶ	of
Συμεὼν	Simeon
Συμεὼν	of
Ἰούδα	Judah
Ἰούδα	of
Ἰωσὴφ	Joseph
Ἰωσὴφ	of
Ἰωνὰμ	Jonam
Ἰωνὰμ	of
Ἐλιακὶμ	Eliakim
Ἐλιακὶμ	of
Μελεὰ	Melea
Μελεὰ	of
Μεννὰ	Menna
Μεννὰ	of
Ματταθὰ	Mattatha
Ματταθὰ	of
Ναθὰμ	Nathan
Ναθὰμ	of
Δαυὶδ	David
Δαυὶδ	of
Ἰεσσαὶ	Jesse
Ἰεσσαὶ	of
Ἰωβὴδ	Obed
Ἰωβὴδ	of
Βόος	Boaz
Βόος	of
Σαλὰ	Sala
Σαλὰ	of
Ναασσὼν	Nahshon
Ναασσὼν	of
Ἀμιναδὰβ	Amminadab
Ἀμιναδὰβ	of
Ἀρνὶ	Arni
Ἀρνὶ	of
Ἑσρὼμ	Hezron
Ἑσρὼμ	of
Φάρες	Perez
Φάρες	of
Ἰούδα	Judah
Ἰούδα	of
Ἰακὼβ	Jacob
Ἰακὼβ	of
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Θάρα	Terah
Θάρα	of
Ναχὼρ	Nahor
Ναχὼρ	of
Σεροὺχ	Serug
Σεροὺχ	of
Ῥαγαὺ	Reu
Ῥαγαὺ	of
Φάλεκ	Peleg
Φάλεκ	of
Ἔβερ	Eber
Ἔβερ	of
Σαλὰ	Shelah
Σαλὰ	of
Καϊνὰμ	Cainan
Καϊνὰμ	of
Ἀρφαξὰδ	Arphaxad
Ἀρφαξὰδ	of
Σὴμ	Shem
Σὴμ	of
Νῶε	Noah
Νῶε	of
Λάμεχ	Lamech
Λάμεχ	of
Μαθουσαλὰ	Methuselah
Μαθουσαλὰ	of
Ἑνὼχ	Enoch
Ἑνὼχ	of
Ἰάρετ	Jared
Ἰάρετ	of
Σὴθ	Seth
Σὴθ	of
Ἀδὰμ	Adam
Ἀδὰμ	of
Ἰησοῦς	Jesus
Ἰορδάνου	Jordan
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰερουσαλὴμ	Jerusalem
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίαν	Galilee
Ναζαρά	Nazareth
Ἠσαΐου	Isaiah
Ἰωσὴφ	Joseph’s
Καφαρναοὺμ	Capernaum
Ἠλίου	Elijah’s
Ἰσραήλ	Israel
Ἠλίας	Elijah
Σάρεπτα	Zarephath
Ἰσραὴλ	Israel
Ἐλισαίου	Elisha
Ναιμὰν	Naaman
Σύρος	Syrian
Καφαρναοὺμ	Capernaum
Γαλιλαίας	Galilee
Γαλιλαίας	in
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Σίμωνος	Simon’s
Σίμωνος	Simon’s
χριστὸν	Christ
Ἰουδαίας	Judea
Ἰουδαίας	of
Γεννησαρὲτ	Gennesaret
Γεννησαρὲτ	of
Σίμωνος	Simon’s
Σίμωνα	Simon
Σίμων	Simon
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦ	Jesus’
Ἰάκωβον	James
Ἰωάννην	John
Ζεβεδαίου	Zebedee’s
Σίμωνι	Simon’s
Σίμωνα	Simon
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Μωϋσῆς	Moses
Φαρισαῖοι	Pharisees
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἰουδαίας	Judea
Ἰερουσαλήμ	Jerusalem
Ἰερουσαλήμ	from
Ἰησοῦ	Jesus
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Λευὶν	Levi
Λευὶς	Levi
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἰωάννου	John’s
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Δαυὶδ	David
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦ	to
Σίμωνα	Simon
Πέτρον	Peter
Ἀνδρέαν	Andrew
Ἰάκωβον	James
Ἰωάννην	John
Φίλιππον	Philip
Βαρθολομαῖον	Bartholomew
Μαθθαῖον	Matthew
Θωμᾶν	Thomas
Ἰάκωβον	James
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Σίμωνα	Simon
Ἰακώβου	James
Ἰακώβου	of
Ἰούδαν	Judas
Ἰσκαριώθ	Iscariot
Ἰουδαίας	Judea
Ἰερουσαλὴμ	Jerusalem
Τύρου	Tyre
Τύρου	of
Σιδῶνος	Sidon
Καφαρναούμ	Capernaum
Ἰησοῦ	Jesus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰσραὴλ	Israel
Ναῒν	Nain
Ἰουδαίᾳ	Judea
Ἰωάννῃ	John
Ἰωάννης	John
Ἰωάννῃ	John
Ἰωάννου	John’s
Ἰωάννου	John
Ἰωάννου	John
Ἰωάννου	than
Ἰωάννου	John’s
Φαρισαῖοι	Pharisees
Ἰωάννης	John
Φαρισαίων	Pharisees
Φαρισαίων	of
Φαρισαίου	Pharisee’s
Φαρισαίου	Pharisee’s
Φαρισαῖος	Pharisee
Ἰησοῦς	Jesus
Σίμων	Simon
Σίμων	Simon
Σίμωνι	Simon
Σίμωνι	to
Μαρία	Mary
Μαγδαληνή	Magdalene
Ἰωάννα	Joanna
Ἡρῴδου	Herod’s
Σουσάννα	Susanna
Γαλιλαίας	Galilee
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦ	Jesus’
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰάϊρος	Jairus
Ἰησοῦ	Jesus’
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰωάννην	John
Ἰάκωβον	James
Ἡρῴδης	Herod
Ἰωάννης	John
Ἠλίας	Elijah
Ἡρῴδης	Herod
Ἰωάννην	John
Βηθσαϊδά	Bethsaida
Ἰωάννην	John
Ἠλίαν	Elijah
Πέτρος	Peter
χριστὸν	Christ
Πέτρον	Peter
Ἰωάννην	John
Ἰάκωβον	James
Μωϋσῆς	Moses
Ἠλίας	Elijah
Ἰερουσαλήμ	Jerusalem
Πέτρος	Peter
Πέτρος	Peter
Ἰησοῦν	Jesus
Μωϋσεῖ	Moses
Μωϋσεῖ	for
Ἠλίᾳ	Elijah
Ἠλίᾳ	for
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰωάννης	John
Ἰησοῦς	Jesus
Ἰερουσαλήμ	Jerusalem
Ἰερουσαλήμ	Jerusalem
Ἰάκωβος	James
Ἰωάννης	John
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σοδόμοις	Sodom
Σοδόμοις	for
Χοραζίν	Chorazin
Βηθσαϊδά	Bethsaida
Τύρῳ	Tyre
Σιδῶνι	Sidon
Τύρῳ	Tyre
Τύρῳ	for
Σιδῶνι	Sidon
Καφαρναούμ	Capernaum
σατανᾶν	Satan
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰερουσαλὴμ	Jerusalem
Ἰεριχὼ	Jericho
Λευίτης	Levite
Λευίτης	a
Σαμαρίτης	Samaritan
Ἰησοῦς	Jesus
Μάρθα	Martha
Μαριάμ	Mary
Μάρθα	Martha
Μαριὰμ	Mary
Ἰωάννης	John
Βεελζεβοὺλ	Beelzebul
σατανᾶς	Satan
Βεελζεβοὺλ	Beelzebul
Βεελζεβοὺλ	Beelzebul
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰωνᾶς	Jonah
Νινευίταις	Nineveh
Νινευίταις	to
Νινευίταις	people
Νινευίταις	of
Σολομῶνος	Solomon
Σολομῶνος	of
Σολομῶνος	Solomon
Σολομῶνος	than
Νινευῖται	Nineveh
Ἰωνᾶ	Jonah
Ἰωνᾶ	than
Φαρισαῖος	Pharisee
Φαρισαῖος	a
Φαρισαῖος	Pharisee
Φαρισαῖοι	Pharisees
Φαρισαίοις	Pharisees
Φαρισαίοις	Pharisees
Ἅβελ	Abel
Ἅβελ	of
Ζαχαρίου	Zechariah
Ζαχαρίου	of
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
Φαρισαίων	of
Σολομὼν	Solomon
Πέτρος	Peter
Πιλᾶτος	Pilate
Σιλωὰμ	Siloam
Ἰερουσαλήμ	Jerusalem
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
σατανᾶς	Satan
Ἱεροσόλυμα	Jerusalem
Ἀβραὰμ	Abraham
Ἰσαὰκ	Isaac
Ἰακὼβ	Jacob
Φαρισαῖοι	Pharisees
Ἡρῴδης	Herod
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλὴμ	O
Ἰερουσαλήμ	Jerusalem
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰησοῦς	Jesus
Φαρισαίους	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἰωάννου	John
Λάζαρος	Lazarus
Ἀβραάμ	Abraham’s
Ἀβραὰμ	Abraham
Λάζαρον	Lazarus
Ἀβραάμ	Abraham
Λάζαρον	Lazarus
Ἀβραάμ	Abraham
Λάζαρος	Lazarus
Ἀβραάμ	Abraham
Μωϋσέα	Moses
Ἀβραάμ	Abraham
Μωϋσέως	Moses
Ἰερουσαλὴμ	Jerusalem
Σαμαρείας	Samaria
Γαλιλαίας	Galilee
Ἰησοῦ	Jesus
Σαμαρίτης	Samaritan
Σαμαρίτης	a
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Νῶε	Noah
Νῶε	of
Νῶε	Noah
Λώτ	Lot
Λώτ	of
Λὼτ	Lot
Σοδόμων	Sodom
Λώτ	Lot’s
Φαρισαῖος	Pharisee
Φαρισαῖος	a
Φαρισαῖος	Pharisee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰερουσαλήμ	Jerusalem
Ἰεριχὼ	Jericho
Ἰησοῦς	Jesus
Ναζωραῖος	Nazarene
Ἰησοῦ	Jesus
Δαυίδ	David
Δαυίδ	of
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰεριχώ	Jericho
Ζακχαῖος	Zacchaeus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ζακχαῖε	Zacchaeus
Ζακχαῖος	Zacchaeus
Ἰησοῦς	Jesus
Ἀβραάμ	Abraham
Ἀβραάμ	of
Ἰερουσαλὴμ	Jerusalem
Ἱεροσόλυμα	Jerusalem
Βηθφαγὴ	Bethphage
Βηθανία[ν]	Bethany
Ἰησοῦν	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Ἰωάννην	John
Ἰησοῦς	Jesus
Καίσαρι	Caesar
Καίσαρι	to
Καίσαρος	Caesar’s
Καίσαρος	Caesar’s
Καίσαρι	Caesar
Καίσαρι	to
Σαδδουκαίων	Sadducees
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Μωϋσῆς	Moses
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Ἰσαὰκ	Isaac
Ἰσαὰκ	of
Ἰακώβ	Jacob
Ἰακώβ	of
χριστὸν	Christ
Δαυὶδ	David’s
Δαυὶδ	David
Δαυὶδ	David
Ἰερουσαλήμ	Jerusalem
Ἰουδαίᾳ	Judea
Ἰερουσαλὴμ	Jerusalem
σατανᾶς	Satan
Ἰούδαν	Judas
Ἰσκαριώτην	Iscariot
