NA27	HSB
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	की
Δαυὶδ	दाऊद
Δαυὶδ	की
Ἀβραάμ	अब्राहम
Ἀβραάμ	की
Ἀβραὰμ	अब्राहम
Ἰσαάκ	इसहाक
Ἰσαὰκ	इसहाक
Ἰακώβ	याकूब
Ἰακὼβ	याकूब
Ἰούδαν	यहूदा
Ἰούδας	यहूदा
Ἰούδας	से
Φάρες	फिरिस
Ζάρα	जोरह
Θαμάρ	तामार
Θαμάρ	के
Φάρες	फिरिस
Ἑσρώμ	हिस्रोन
Ἑσρὼμ	हिस्रोन
Ἀράμ	एराम
Ἀρὰμ	एराम
Ἀμιναδάβ	अम्मीनादाब
Ἀμιναδὰβ	अम्मीनादाब
Ναασσών	नहशोन
Ναασσὼν	नहशोन
Σαλμών	सलमोन
Σαλμὼν	सलमोन
Βόες	बोअज़
Ῥαχάβ	राहब
Ῥαχάβ	के
Βόες	बोअज़
Ἰωβὴδ	ओबेद
Ῥούθ	रूत
Ῥούθ	के
Ἰωβὴδ	ओबेद
Ἰεσσαί	यिशै
Ἰεσσαὶ	यिशै
Δαυὶδ	दाऊद
Δαυὶδ	दाऊद
Σολομῶνα	सुलैमान
Οὐρίου	उरिय्याह
Οὐρίου	की
Σολομὼν	सुलैमान
Ῥοβοάμ	रहबाम
Ῥοβοὰμ	रहबाम
Ἀβιά	अबिय्याह
Ἀβιὰ	अबिय्याह
Ἀσάφ	आसा
Ἀσὰφ	आसा
Ἰωσαφάτ	यहोशापात
Ἰωσαφὰτ	यहोशापात
Ἰωράμ	योराम
Ἰωρὰμ	योराम
Ὀζίαν	उज्‍जियाह
Ὀζίας	उज्‍जियाह
Ἰωαθάμ	योताम
Ἰωαθὰμ	योताम
Ἀχάζ	आहाज
Ἀχὰζ	आहाज
Ἑζεκίαν	हिजकिय्याह
Ἑζεκίας	हिजकिय्याह
Μανασσῆ	मनश्शे
Μανασσῆς	मनश्शे
Ἀμώς	आमोन
Ἀμὼς	आमोन
Ἰωσίαν	योशिय्याह
Ἰωσίας	योशिय्याह
Ἰεχονίαν	यकुन्याह
Βαβυλῶνος	बेबीलोन
Βαβυλῶνος	बेबीलोन
Ἰεχονίας	यकुन्याह
Σαλαθιήλ	शालतिएल
Σαλαθιὴλ	शालतिएल
Ζοροβαβέλ	जरुब्बाबिल
Ζοροβαβὲλ	जरुब्बाबिल
Ἀβιούδ	अबीहूद
Ἀβιοὺδ	अबीहूद
Ἐλιακίμ	एल्याकीम
Ἐλιακὶμ	एल्याकीम
Ἀζώρ	अज़ोर
Ἀζὼρ	अज़ोर
Σαδώκ	सदोक
Σαδὼκ	सदोक
Ἀχίμ	अखीम
Ἀχὶμ	अखीम
Ἐλιούδ	इलीहूद
Ἐλιοὺδ	इलीहूद
Ἐλεάζαρ	एलीआज़ार
Ἐλεάζαρ	एलीआज़ार
Ματθάν	मत्तान
Ματθὰν	मत्तान
Ἰακώβ	याकूब
Ἰακὼβ	याकूब
Ἰωσὴφ	यूसुफ
Μαρίας	मरियम
Μαρίας	का
Ἰησοῦς	यीशु
Χριστός	मसीह
Ἀβραὰμ	अब्राहम
Δαυὶδ	दाऊद
Δαυὶδ	दाऊद
Βαβυλῶνος	बेबीलोन
Βαβυλῶνος	बेबीलोन
Χριστοῦ	मसीह
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	का
Μαρίας	मरियम
Μαρίας	की
Ἰωσήφ	यूसुफ
Ἰωσήφ	से
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	ने
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	हे
Δαυίδ	दाऊद
Δαυίδ	की
Μαρίαν	मरियम
Μαρίαν	को
Ἰησοῦν	यीशु
Ἐμμανουήλ	इम्मानुएल
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	ने
Ἰησοῦν	यीशु
Ἰησοῦ	यीशु
Ἰησοῦ	का
Βηθλέεμ	बैतलहम
Ἰουδαίας	यहूदिया
Ἰουδαίας	के
Ἡρῴδου	हेरोदेस
Ἡρῴδου	के
Ἱεροσόλυμα	यरूशलेम
Ἡρῴδης	हेरोदेस
Ἱεροσόλυμα	यरूशलेम
χριστὸς	मसीह
Βηθλέεμ	बैतलहम
Ἰουδαίας	यहूदिया
Ἰουδαίας	के
Βηθλέεμ	बैतलहम
Βηθλέεμ	हे
Ἰούδα	यहूदा
Ἰούδα	के
Ἰούδα	यहूदा
Ἰούδα	के
Ἰσραήλ	इस्राएल
Ἡρῴδης	हेरोदेस
Ἡρῴδης	ने
Βηθλέεμ	बैतलहम
Μαρίας	मरियम
Μαρίας	के
Ἡρῴδην	हेरोदेस
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	को
Αἴγυπτον	मिस्र
Ἡρῴδης	हेरोदेस
Αἴγυπτον	मिस्र
Ἡρῴδου	हेरोदेस
Ἡρῴδου	की
Αἰγύπτου	मिस्र
Ἡρῴδης	हेरोदेस
Ἡρῴδης	ने
Βηθλέεμ	बैतलहम
Ἰερεμίου	यिर्मयाह
Ῥαμὰ	रामाह
Ῥαχὴλ	राहेल
Ἡρῴδου	हेरोदेस
Ἡρῴδου	की
Ἰωσὴφ	यूसुफ
Αἰγύπτῳ	मिस्र
Ἰσραήλ	इस्राएल
Ἰσραήλ	इस्राएल
Ἀρχέλαος	अरखिलाउस
Ἰουδαίας	यहूदिया
Ἡρῴδου	हेरोदेस
Ἡρῴδου	के
Γαλιλαίας	गलील
Ναζαρέτ	नासरत
Ναζωραῖος	नासरी
Ἰωάννης	यूहन्‍ना
Ἰουδαίας	यहूदिया
Ἰουδαίας	के
Ἠσαΐου	यशायाह
Ἰωάννης	यूहन्‍ना
Ἱεροσόλυμα	यरूशलेम
Ἰουδαία	यहूदिया
Ἰορδάνου	यरदन
Ἰορδάνου	के
Ἰορδάνῃ	यरदन
Φαρισαίων	फरीसियों
Σαδδουκαίων	सदूकियों
Ἀβραάμ	अब्राहम
Ἀβραάμ	अब्राहम
Ἀβραάμ	के
Ἀβραάμ	लिए
Ἰησοῦς	यीशु
Γαλιλαίας	गलील
Ἰορδάνην	यरदन
Ἰωάννην	उसके
Ἰωάννης	यूहन्‍ना
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
σατανᾶ	शैतान
σατανᾶ	हे
Ἰωάννης	यूहन्‍ना
Γαλιλαίαν	गलील
Ναζαρὰ	नासरत
Ναζαρὰ	को
Καφαρναοὺμ	कफरनहूम
Ζαβουλὼν	जबूलून
Νεφθαλίμ	नप्‍ताली
Νεφθαλίμ	के
Ἠσαΐου	यशायाह
Ζαβουλὼν	जबूलून
Νεφθαλίμ	नप्‍ताली
Νεφθαλίμ	के
Ἰορδάνου	यरदन
Ἰορδάνου	के
Γαλιλαία	गलील
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Γαλιλαίας	गलील
Γαλιλαίας	की
Σίμωνα	शमौन
Σίμωνα	को
Πέτρον	पतरस
Ἀνδρέαν	अंद्रियास
Ἀνδρέαν	को
Ἰάκωβον	याकूब
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Γαλιλαίᾳ	गलील
Συρίαν	सीरिया
Γαλιλαίας	गलील
Δεκαπόλεως	दिकापुलिस
Ἱεροσολύμων	यरूशलेम
Ἰουδαίας	यहूदिया
Ἰορδάνου	यरदन
Ἰορδάνου	के
Φαρισαίων	फरीसियों
Φαρισαίων	की
Ἱεροσόλυμα	यरूशलेम
Σολομὼν	सुलैमान
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Καφαρναοὺμ	कफरनहूम
Ἰησοῦς	यीशु
Ἰσραὴλ	इस्राएल
Ἀβραὰμ	अब्राहम
Ἰσαὰκ	इसहाक
Ἰακὼβ	याकूब
Ἰακὼβ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Πέτρου	पतरस
Πέτρου	के
Ἠσαΐου	यशायाह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦ	यीशु
Ἰησοῦ	से
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Μαθθαῖον	मत्ती
Ἰησοῦ	यीशु
Φαρισαῖοι	फरीसी
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Φαρισαῖοι	फरीसी
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦ	यीशु
Δαυίδ	दाऊद
Δαυίδ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰσραήλ	इस्राएल
Φαρισαῖοι	फरीसी
Ἰησοῦς	यीशु
Σίμων	शमौन
Πέτρος	पतरस
Ἀνδρέας	अंद्रियास
Ἰάκωβος	याकूब
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	का
Ἰωάννης	यूहन्‍ना
Φίλιππος	फिलिप्पुस
Βαρθολομαῖος	बरतुल्मै
Θωμᾶς	थोमा
Μαθθαῖος	मत्ती
Ἰάκωβος	याकूब
Ἁλφαίου	हलफई
Ἁλφαίου	का
Θαδδαῖος	तद्दै
Σίμων	शमौन
Καναναῖος	कनानी
Ἰούδας	यहूदा
Ἰσκαριώτης	इस्करियोती
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σαμαριτῶν	सामरियों
Σαμαριτῶν	के
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Σοδόμων	सदोम
Γομόρρων	अमोरा
Γομόρρων	की
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	के
Βεελζεβοὺλ	बालज़बूल
Ἰησοῦς	यीशु
Ἰωάννης	यूहन्‍ना
Ἰωάννης	ने
Χριστοῦ	मसीह
Χριστοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰωάννῃ	यूहन्‍ना
Ἰωάννῃ	को
Ἰησοῦς	यीशु
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Ἰωάννου	यूहन्‍ना
Ἰωάννου	यूहन्‍ना
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Ἠλίας	एलिय्याह
Ἰωάννης	यूहन्‍ना
Χοραζίν	खुराजीन
Χοραζίν	हे
Βηθσαϊδά	बैतसैदा
Βηθσαϊδά	हे
Τύρῳ	सूर
Σιδῶνι	सैदा
Τύρῳ	सूर
Σιδῶνι	सैदा
Καφαρναούμ	कफरनहूम
Καφαρναούμ	हे
Σοδόμοις	सदोम
Σοδόμων	सदोम
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Φαρισαῖοι	फरीसियों
Φαρισαῖοι	ने
Δαυὶδ	दाऊद
Φαρισαῖοι	फरीसियों
Φαρισαῖοι	ने
Ἰησοῦς	यीशु
Ἠσαΐου	यशायाह
Δαυίδ	दाऊद
Δαυίδ	का
Φαρισαῖοι	फरीसियों
Φαρισαῖοι	ने
Βεελζεβοὺλ	बालज़बूल
σατανᾶς	शैतान
σατανᾶν	शैतान
σατανᾶν	को
Βεελζεβοὺλ	बालज़बूल
Φαρισαίων	फरीसियों
Φαρισαίων	ने
Ἰωνᾶ	योना
Ἰωνᾶς	योना
Νινευῖται	नीनवे
Ἰωνᾶ	योना
Ἰωνᾶ	के
Ἰωνᾶ	योना
Σολομῶνος	सुलैमान
Σολομῶνος	की
Σολομῶνος	सुलैमान
Σολομῶνος	से
Ἰησοῦς	यीशु
Ἠσαΐου	यशायाह
Ἠσαΐου	की
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Μαριὰμ	मरियम
Ἰάκωβος	याकूब
Ἰωσὴφ	यूसुफ
Σίμων	शमौन
Ἰούδας	यहूदा
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἡρῴδης	हेरोदेस
Ἡρῴδης	ने
Ἰησοῦ	यीशु
Ἰησοῦ	की
Ἰωάννης	यूहन्‍ना
Ἡρῴδης	हेरोदेस
Ἡρῴδης	ने
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Ἡρῳδιάδα	हेरोदियास
Φιλίππου	फिलिप्पुस
Φιλίππου	की
Ἰωάννης	यूहन्‍ना
Ἡρῴδου	हेरोदेस
Ἡρῴδου	के
Ἡρῳδιάδος	हेरोदियास
Ἡρῳδιάδος	की
Ἡρῴδῃ	हेरोदेस
Ἡρῴδῃ	को
Ἰωάννου	यूहन्‍ना
Ἰωάννην	यूहन्‍ना
Ἰησοῦ	यीशु
Ἰησοῦ	को
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρος	पतरस
Πέτρος	ने
Πέτρος	पतरस
Ἰησοῦν	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Γεννησαρέτ	गन्‍नेसरत
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἱεροσολύμων	यरूशलेम
Φαρισαῖοι	फरीसी
Ἠσαΐας	यशायाह
Ἠσαΐας	ने
Φαρισαῖοι	फरीसियों
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Τύρου	सूर
Σιδῶνος	सैदा
Σιδῶνος	के
Δαυίδ	दाऊद
Δαυίδ	के
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Γαλιλαίας	गलील
Γαλιλαίας	की
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Μαγαδάν	मगदन
Μαγαδάν	के
Φαρισαῖοι	फरीसियों
Σαδδουκαῖοι	सदूकियों
Σαδδουκαῖοι	ने
Ἰωνᾶ	योना
Ἰωνᾶ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Φαρισαίων	फरीसियों
Σαδδουκαίων	सदूकियों
Σαδδουκαίων	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Φαρισαίων	फरीसियों
Σαδδουκαίων	सदूकियों
Σαδδουκαίων	के
Φαρισαίων	फरीसियों
Σαδδουκαίων	सदूकियों
Σαδδουκαίων	की
Ἰησοῦς	यीशु
Καισαρείας	कैसरिया
Φιλίππου	फिलिप्पी
Φιλίππου	के
Ἰωάννην	यूहन्‍ना
Ἠλίαν	एलिय्याह
Ἰερεμίαν	यिर्मयाह
Σίμων	शमौन
Πέτρος	पतरस
Πέτρος	ने
χριστὸς	मसीह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σίμων	शमौन
Βαριωνᾶ	योना
Βαριωνᾶ	हे
Βαριωνᾶ	के
Βαριωνᾶ	पुत्र
Πέτρος	पतरस
χριστός	मसीह
Ἰησοῦς	यीशु
Ἱεροσόλυμα	यरूशलेम
Πέτρος	पतरस
Πέτρῳ	पतरस
Πέτρῳ	से
σατανᾶ	शैतान
σατανᾶ	हे
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρον	पतरस
Ἰάκωβον	याकूब
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Μωϋσῆς	मूसा
Ἠλίας	एलिय्याह
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Ἰησοῦ	से
Μωϋσεῖ	मूसा
Μωϋσεῖ	के
Μωϋσεῖ	लिए
Ἠλίᾳ	एलिय्याह
Ἠλίᾳ	के
Ἠλίᾳ	लिए
Ἰησοῦς	यीशु
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἠλίαν	एलिय्याह
Ἠλίας	एलिय्याह
Ἠλίας	एलिय्याह
Ἰωάννου	यूहन्‍ना
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦ	यीशु
Ἰησοῦ	के
Γαλιλαίᾳ	गलील
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Καφαρναοὺμ	कफरनहूम
Πέτρῳ	पतरस
Πέτρῳ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σίμων	शमौन
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦ	यीशु
Ἰησοῦ	के
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Γαλιλαίας	गलील
Ἰουδαίας	यहूदिया
Ἰουδαίας	के
Ἰορδάνου	यरदन
Ἰορδάνου	के
Φαρισαῖοι	फरीसी
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Ἰησοῦς	यीशु
Ἱεροσόλυμα	यरूशलेम
Ἱεροσόλυμα	यरूशलेम
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰεριχὼ	यरीहो
Ἰησοῦς	यीशु
Δαυίδ	दाऊद
Δαυίδ	के
Δαυίδ	दाऊद
Δαυίδ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἱεροσόλυμα	यरूशलेम
Βηθφαγὴ	बैतफगे
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σιών	सिय्योन
Σιών	की
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Δαυίδ	दाऊद
Δαυίδ	के
Ἱεροσόλυμα	यरूशलेम
Ἰησοῦς	यीशु
Ναζαρὲθ	नासरत
Γαλιλαίας	गलील
Γαλιλαίας	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Δαυίδ	दाऊद
Δαυίδ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Βηθανίαν	बैतनिय्याह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰωάννου	यूहन्‍ना
Ἰωάννου	का
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Ἰησοῦ	यीशु
Ἰησοῦ	को
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰωάννης	यूहन्‍ना
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Φαρισαῖοι	फरीसी
Ἰησοῦς	यीशु
Φαρισαῖοι	फरीसियों
Φαρισαῖοι	ने
Ἡρῳδιανῶν	हेरोदियों
Ἡρῳδιανῶν	के
Καίσαρι	कैसर
Καίσαρι	को
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Καίσαρος	कैसर
Καίσαρος	का
Καίσαρος	कैसर
Καίσαρος	का
Καίσαρι	कैसर
Καίσαρι	को
Σαδδουκαῖοι	सदूकी
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἀβραὰμ	अब्राहम
Ἀβραὰμ	का
Ἰσαὰκ	इसहाक
Ἰσαὰκ	का
Ἰακώβ	याकूब
Ἰακώβ	का
Φαρισαῖοι	फरीसियों
Φαρισαῖοι	ने
Σαδδουκαίους	सदूकियों
Φαρισαίων	फरीसी
Ἰησοῦς	यीशु
Ἰησοῦς	ने
χριστοῦ	मसीह
χριστοῦ	के
Δαυίδ	दाऊद
Δαυίδ	का
Δαυὶδ	दाऊद
Δαυὶδ	दाऊद
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Μωϋσέως	मूसा
Μωϋσέως	के
Φαρισαῖοι	फरीसी
Χριστός	मसीह
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Φαρισαῖε	फरीसी
Φαρισαῖε	हे
Φαρισαῖοι	फरीसियो
Φαρισαῖοι	फरीसियो
Ἅβελ	हाबिल
Ἅβελ	के
Ζαχαρίου	जकरयाह
Ζαχαρίου	के
Βαραχίου	बिरिक्याह
Βαραχίου	के
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	हे
Ἰερουσαλήμ	यरूशलेम
Ἰερουσαλήμ	हे
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
χριστός	मसीह
Δανιὴλ	दानिय्येल
Ἰουδαίᾳ	यहूदिया
χριστός	मसीह
Νῶε	नूह
Νῶε	के
Νῶε	नूह
Νῶε	ने
Ἰησοῦς	यीशु
Καϊάφα	काइफा
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰησοῦ	यीशु
Βηθανίᾳ	बैतनिय्याह
Σίμωνος	शमौन
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰούδας	यहूदा
Ἰσκαριώτης	इस्करियोती
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰούδας	यहूदा
Ἰούδας	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Γαλιλαίαν	गलील
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Γεθσημανὶ	गतसमनी
Πέτρον	पतरस
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Πέτρῳ	पतरस
Πέτρῳ	से
Ἰούδας	यहूदा
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦν	यीशु
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦν	यीशु
Καϊάφαν	काइफा
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦς	यीशु
χριστὸς	मसीह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
χριστέ	मसीह
χριστέ	हे
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦ	यीशु
Ναζωραίου	नासरी
Ναζωραίου	के
Πέτρῳ	पतरस
Πέτρῳ	से
Πέτρος	पतरस
Ἰησοῦ	यीशु
Ἰησοῦ	की
Ἰησοῦ	यीशु
Πιλάτῳ	पिलातुस
Πιλάτῳ	के
Ἰούδας	यहूदा
Ἰούδας	ने
Ἰερεμίου	यिर्मयाह
Ἰσραήλ	इस्राएल
Ἰσραήλ	की
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Ἰησοῦν	को
χριστόν	मसीह
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Ἰησοῦν	यीशु
χριστόν	मसीह
Πιλᾶτος	पिलातुस
Πιλᾶτος	ने
Βαραββᾶν	बरअब्बा
Βαραββᾶν	को
Ἰησοῦν	यीशु
Ἰησοῦν	को
