NA27	CUVMP
Ἡρῴδῃ	希律
Ἡρῴδῃ	对
Ἡρῳδιὰς	希罗底
Ἡρῴδης	希律
Ἰωάννην	他
Ἡρῴδης	希律
Γαλιλαίας	加利利
Ἡρῳδιάδος	希罗底
Ἡρῳδιάδος	的
Ἡρῴδῃ	希律
Ἰωάννου	约翰
Ἰωάννου	的
Ἰωάννου	约翰
Ἰωάννου	的
Ἰησοῦν	耶稣
Βηθσαϊδάν	伯赛大
Γεννησαρὲτ	革尼撒勒
Φαρισαῖοι	法利赛
Φαρισαῖοι	有
Φαρισαῖοι	人
Ἱεροσολύμων	耶路撒冷
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἠσαΐας	以赛亚
Μωϋσῆς	摩西
κορβᾶν	各耳板
Τύρου	推罗
Ἑλληνίς	希腊
Ἑλληνίς	人
Συροφοινίκισσα	叙利非尼基
Τύρου	推罗
Τύρου	的
Σιδῶνος	西顿
Γαλιλαίας	加利利
Δεκαπόλεως	低加波利
Δαλμανουθά	大玛努他
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίων	的
Ἡρῴδου	希律
Ἡρῴδου	的
Βηθσαϊδάν	伯赛大
Ἰησοῦς	耶稣
Ἰωάννην	约翰
Ἠλίαν	以利亚
Πέτρος	彼得
χριστός	基督
Πέτρος	彼得
Πέτρῳ	彼得
σατανᾶ	撒旦
Ἰησοῦς	耶稣
Πέτρον	彼得
Ἰάκωβον	雅各
Ἰωάννην	约翰
Ἠλίας	以利亚
Ἠλίας	有
Μωϋσεῖ	摩西
Ἰησοῦ	耶稣
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰησοῦ	对
Μωϋσεῖ	摩西
Μωϋσεῖ	为
Ἠλίᾳ	以利亚
Ἠλίᾳ	为
Ἰησοῦν	耶稣
Ἠλίαν	以利亚
Ἠλίας	以利亚
Ἠλίας	以利亚
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Γαλιλαίας	加利利
Καφαρναούμ	迦百农
Ἰωάννης	约翰
Ἰησοῦς	耶稣
Χριστοῦ	基督
Χριστοῦ	属
Ἰουδαίας	犹太
Ἰουδαίας	的
Ἰορδάνου	约旦
Ἰορδάνου	河
Φαρισαῖοι	法利赛
Φαρισαῖοι	有
Φαρισαῖοι	人
Μωϋσῆς	摩西
Μωϋσῆς	摩西
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Πέτρος	彼得
Ἰησοῦς	耶稣
Ἱεροσόλυμα	耶路撒冷
Ἰησοῦς	耶稣
Ἱεροσόλυμα	耶路撒冷
Ἰάκωβος	雅各
Ἰωάννης	约翰
Ζεβεδαίου	西庇太
Ζεβεδαίου	的
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰακώβου	雅各
Ἰωάννου	约翰
Ἰησοῦς	耶稣
Ἰεριχώ	耶利哥
Ἰεριχὼ	耶利哥
Τιμαίου	底买
Τιμαίου	的
Βαρτιμαῖος	巴底买
Ἰησοῦς	耶稣
Δαυὶδ	大卫
Δαυὶδ	的
Ἰησοῦ	耶稣
Ἰησοῦ	啊
Δαυίδ	大卫
Δαυίδ	的
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἱεροσόλυμα	耶路撒冷
Βηθφαγὴ	伯法其
Βηθανίαν	伯大尼
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Δαυίδ	大卫
Δαυίδ	之
Ἱεροσόλυμα	耶路撒冷
Βηθανίαν	伯大尼
Βηθανίας	伯大尼
Ἱεροσόλυμα	耶路撒冷
Πέτρος	彼得
Ἰησοῦς	耶稣
Ἱεροσόλυμα	耶路撒冷
Ἰησοῦς	耶稣
Ἰωάννου	约翰
Ἰωάννου	的
Ἰωάννην	约翰
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Φαρισαίων	法利赛
Φαρισαίων	人
Ἡρῳδιανῶν	希律
Ἡρῳδιανῶν	几
Ἡρῳδιανῶν	个
Ἡρῳδιανῶν	党
Ἡρῳδιανῶν	的
Ἡρῳδιανῶν	人
Καίσαρι	恺撒
Καίσαρι	给
Καίσαρος	恺撒
Καίσαρος	的
Ἰησοῦς	耶稣
Καίσαρος	恺撒
Καίσαρος	的
Καίσαρι	恺撒
Σαδδουκαῖοι	撒都该
Σαδδουκαῖοι	人
Μωϋσῆς	摩西
Ἰησοῦς	耶稣
Μωϋσέως	摩西
Μωϋσέως	的
Ἀβραὰμ	亚伯拉罕
Ἀβραὰμ	的
Ἰσαὰκ	以撒
Ἰσαὰκ	的
Ἰακώβ	雅各
Ἰακώβ	的
Ἰησοῦς	耶稣
Ἰσραήλ	以色列
Ἰσραήλ	啊
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
χριστὸς	基督
Δαυίδ	大卫
Δαυίδ	的
Δαυὶδ	大卫
Δαυὶδ	大卫
Ἰησοῦς	耶稣
Πέτρος	彼得
Ἰάκωβος	雅各
Ἰωάννης	约翰
Ἀνδρέας	安得烈
Ἰησοῦς	耶稣
Ἰουδαίᾳ	犹太
χριστός	基督
Βηθανίᾳ	伯大尼
Σίμωνος	西门
Ἰησοῦς	耶稣
Ἰούδας	犹大
Ἰούδας	有
Ἰσκαριὼθ	加略
Ἰσκαριὼθ	人
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Γαλιλαίαν	加利利
Πέτρος	彼得
Ἰησοῦς	耶稣
Γεθσημανὶ	客西马尼
Πέτρον	彼得
Ἰάκωβον	雅各
Ἰωάννην	约翰
Πέτρῳ	彼得
Πέτρῳ	对
Σίμων	西门
Ἰούδας	犹大
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦν	把
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰησοῦν	耶稣
χριστὸς	基督
Ἰησοῦς	耶稣
Πέτρου	彼得
Πέτρον	彼得
Ἰησοῦ	耶稣
Πέτρῳ	彼得
Πέτρῳ	对
Πέτρος	彼得
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦν	把
Πιλάτῳ	彼拉多
Πιλᾶτος	彼拉多
Πιλᾶτος	彼拉多
Ἰησοῦς	耶稣
Πιλᾶτον	彼拉多
Βαραββᾶς	巴拉巴
Πιλᾶτος	彼拉多
Βαραββᾶν	巴拉巴
Πιλᾶτος	彼拉多
Πιλᾶτος	彼拉多
Πιλᾶτος	彼拉多
Βαραββᾶν	巴拉巴
Ἰησοῦν	耶稣
Ἰησοῦν	将
Σίμωνα	西门
Κυρηναῖον	古利奈
Κυρηναῖον	人
Ἀλεξάνδρου	亚历山大
Ῥούφου	鲁孚
Ῥούφου	的
Γολγοθᾶν	各各他
χριστὸς	基督
Ἰσραὴλ	以色列
Ἰσραὴλ	的
Ἰησοῦς	耶稣
Ἠλίαν	以利亚
Ἠλίας	以利亚
Ἰησοῦς	耶稣
Μαρία	马利亚
Μαγδαληνὴ	抹大拉
Μαρία	马利亚
Ἰακώβου	雅各
Ἰωσῆτος	约西
Ἰωσῆτος	的
Σαλώμη	撒罗米
Γαλιλαίᾳ	加利利
Ἱεροσόλυμα	耶路撒冷
Ἰωσὴφ	约瑟
Ἰωσὴφ	有
Ἁριμαθαίας	亚利马太
Πιλᾶτον	彼拉多
Ἰησοῦ	耶稣
Ἰησοῦ	的
Πιλᾶτος	彼拉多
Ἰωσήφ	约瑟
Μαρία	马利亚
Μαγδαληνὴ	抹大拉
Μαρία	马利亚
Ἰωσῆτος	约西
Ἰωσῆτος	的
Μαρία	马利亚
Μαγδαληνὴ	抹大拉
Μαρία	马利亚
Ἰακώβου	雅各
Ἰακώβου	的
Σαλώμη	撒罗米
Ἰησοῦν	耶稣
Πέτρῳ	彼得
Γαλιλαίαν	加利利
Μαρίᾳ	马利亚
Μαρίᾳ	向
Μαγδαληνῇ	抹大拉
Ἰησοῦς	耶稣
Θεόφιλε	提阿非罗
Ἡρῴδου	希律
Ἡρῴδου	的
Ἰουδαίας	犹太
Ζαχαρίας	撒迦利亚
Ἀβιά	亚比雅
Ἀαρὼν	亚伦
Ἀαρὼν	的
Ἐλισάβετ	伊利莎白
Ἐλισάβετ	伊利莎白
Ζαχαρίας	撒迦利亚
Ζαχαρία	撒迦利亚
Ἐλισάβετ	伊利莎白
Ἰωάννην	约翰
Ἰσραὴλ	以色列
Ἠλίου	以利亚
Ἠλίου	的
Ζαχαρίας	撒迦利亚
Γαβριὴλ	加百列
Ζαχαρίαν	撒迦利亚
Ἐλισάβετ	伊利莎白
Γαβριὴλ	加百列
Γαλιλαίας	加利利
Γαλιλαίας	的
Ναζαρὲθ	拿撒勒
Ἰωσὴφ	约瑟
Δαυὶδ	大卫
Μαριάμ	马利亚
Μαριάμ	马利亚
Ἰησοῦν	耶稣
Δαυὶδ	大卫
Δαυὶδ	的
Ἰακὼβ	雅各
Μαριὰμ	马利亚
Ἐλισάβετ	伊利莎白
Μαριάμ	马利亚
Μαριὰμ	马利亚
Ἰούδα	犹大
Ἰούδα	的
Ζαχαρίου	撒迦利亚
Ζαχαρίου	的
Ἐλισάβετ	伊利莎白
Μαρίας	马利亚
Ἐλισάβετ	伊利莎白
Ἐλισάβετ	伊利莎白
Μαριάμ	马利亚
Ἰσραὴλ	以色列
Ἀβραὰμ	亚伯拉罕
Μαριὰμ	马利亚
Ἐλισάβετ	伊利莎白
Ζαχαρίαν	撒迦利亚
Ἰωάννης	约翰
Ἰωάννης	约翰
Ἰουδαίας	犹太
Ἰουδαίας	的
Ζαχαρίας	撒迦利亚
Ἰσραήλ	以色列
Ἰσραήλ	的
Δαυὶδ	大卫
Ἀβραὰμ	亚伯拉罕
Ἰσραήλ	以色列
Ἰσραήλ	人
Καίσαρος	恺撒
Αὐγούστου	奥古斯都
Συρίας	叙利亚
Κυρηνίου	居里扭
Ἰωσὴφ	约瑟
Γαλιλαίας	加利利
Ναζαρὲθ	拿撒勒
Ἰουδαίαν	犹太
Δαυὶδ	大卫
Δαυὶδ	的
Βηθλέεμ	伯利恒
Δαυίδ	大卫
Μαριὰμ	马利亚
χριστὸς	基督
Δαυίδ	大卫
Δαυίδ	的
Βηθλέεμ	伯利恒
Μαριὰμ	马利亚
Ἰωσὴφ	约瑟
Μαριὰμ	马利亚
Ἰησοῦς	耶稣
Μωϋσέως	摩西
Ἱεροσόλυμα	耶路撒冷
Ἰερουσαλὴμ	耶路撒冷
Συμεὼν	西面
Ἰσραήλ	以色列
Ἰσραήλ	的
χριστὸν	基督
Ἰησοῦν	耶稣
Ἰσραήλ	以色列
Ἰσραήλ	的
Συμεὼν	西面
Μαριὰμ	马利亚
Ἰσραὴλ	以色列
Ἅννα	亚拿
Φανουήλ	法内力
Φανουήλ	的
Ἀσήρ	亚设
Ἰερουσαλήμ	耶路撒冷
Γαλιλαίαν	加利利
Ναζαρέθ	拿撒勒
Ἰερουσαλὴμ	耶路撒冷
Ἰησοῦς	耶稣
Ἰερουσαλήμ	耶路撒冷
Ἰερουσαλὴμ	耶路撒冷
Ναζαρὲθ	拿撒勒
Ἰησοῦς	耶稣
Τιβερίου	提庇留
Καίσαρος	恺撒
Ἰουδαίας	犹太
Γαλιλαίας	加利利
Ἡρῴδου	希律
Φιλίππου	腓力
Λυσανίου	吕撒聂
Ἀβιληνῆς	亚比利尼
Ἅννα	亚那
Καϊάφα	该亚法
Ἰωάννην	约翰
Ζαχαρίου	撒迦利亚
Ζαχαρίου	的
Ἰορδάνου	约旦
Ἰορδάνου	河
Ἠσαΐου	以赛亚
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	给
Ἰωάννου	约翰
χριστός	基督
Ἰωάννης	约翰
Ἡρῴδης	希律
Ἡρῳδιάδος	希罗底
Ἡρῴδης	他
Ἰωάννην	约翰
Ἰωάννην	把
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰωσὴφ	约瑟
Ἰωσὴφ	的
Ἠλὶ	希里
Ἠλὶ	的
Μαθθὰτ	玛塔
Μαθθὰτ	的
Λευὶ	利未
Λευὶ	的
Μελχὶ	麦基
Μελχὶ	的
Ἰανναὶ	雅拿
Ἰανναὶ	的
Ἰωσὴφ	约瑟
Ἰωσὴφ	的
Ματταθίου	玛他提亚
Ματταθίου	的
Ἀμὼς	亚摩斯
Ἀμὼς	的
Ναοὺμ	拿鸿
Ναοὺμ	的
Ἑσλὶ	以斯利
Ἑσλὶ	的
Ναγγαὶ	拿该
Ναγγαὶ	的
Μάαθ	玛押
Μάαθ	的
Ματταθίου	玛他提亚
Ματταθίου	的
Σεμεῒν	西美
Σεμεῒν	的
Ἰωσὴχ	约瑟
Ἰωσὴχ	的
Ἰωδὰ	犹大
Ἰωδὰ	的
Ἰωανὰν	约亚拿
Ἰωανὰν	的
Ῥησὰ	利撒
Ῥησὰ	的
Ζοροβαβὲλ	所罗巴伯
Ζοροβαβὲλ	的
Σαλαθιὴλ	撒拉铁
Σαλαθιὴλ	的
Νηρὶ	尼利
Νηρὶ	的
Μελχὶ	麦基
Μελχὶ	的
Ἀδδὶ	亚底
Ἀδδὶ	的
Κωσὰμ	哥桑
Κωσὰμ	的
Ἐλμαδὰμ	以摩当
Ἐλμαδὰμ	的
Ἢρ	珥
Ἢρ	的
Ἰησοῦ	约细
Ἰησοῦ	的
Ἐλιέζερ	以利以谢
Ἐλιέζερ	的
Ἰωρὶμ	约令
Ἰωρὶμ	的
Μαθθὰτ	玛塔
Μαθθὰτ	的
Λευὶ	利未
Λευὶ	的
Συμεὼν	西缅
Συμεὼν	的
Ἰούδα	犹大
Ἰούδα	的
Ἰωσὴφ	约瑟
Ἰωσὴφ	的
Ἰωνὰμ	约南
Ἰωνὰμ	的
Ἐλιακὶμ	以利亚敬
Ἐλιακὶμ	的
Μελεὰ	米利亚
Μελεὰ	的
Μεννὰ	买南
Μεννὰ	的
Ματταθὰ	玛达他
Ματταθὰ	的
Ναθὰμ	拿单
Ναθὰμ	的
Δαυὶδ	大卫
Δαυὶδ	的
Ἰεσσαὶ	耶西
Ἰεσσαὶ	的
Ἰωβὴδ	俄备得
Ἰωβὴδ	的
Βόος	波阿斯
Βόος	的
Σαλὰ	撒门
Σαλὰ	的
Ναασσὼν	拿顺
Ναασσὼν	的
Ἀμιναδὰβ	亚米拿达
Ἀμιναδὰβ	的
Ἀρνὶ	亚兰
Ἀρνὶ	的
Ἑσρὼμ	希斯仑
Ἑσρὼμ	的
Φάρες	法勒斯
Φάρες	的
Ἰούδα	犹大
Ἰούδα	的
Ἰακὼβ	雅各
Ἰακὼβ	的
Ἰσαὰκ	以撒
Ἰσαὰκ	的
Ἀβραὰμ	亚伯拉罕
Ἀβραὰμ	的
Θάρα	他拉
Θάρα	的
Ναχὼρ	拿鹤
Ναχὼρ	的
Σεροὺχ	西鹿
Σεροὺχ	的
Ῥαγαὺ	拉吴
Ῥαγαὺ	的
Φάλεκ	法勒
Φάλεκ	的
Ἔβερ	希伯
Ἔβερ	的
Σαλὰ	沙拉
Σαλὰ	的
Καϊνὰμ	该南
Καϊνὰμ	的
Ἀρφαξὰδ	亚法撒
Ἀρφαξὰδ	的
Σὴμ	闪
Σὴμ	的
Νῶε	挪亚
Νῶε	的
Λάμεχ	拉麦
Λάμεχ	的
Μαθουσαλὰ	玛土撒拉
Μαθουσαλὰ	的
Ἑνὼχ	以诺
Ἑνὼχ	的
Ἰάρετ	雅列
Ἰάρετ	的
Μαλελεὴλ	玛勒列
Μαλελεὴλ	的
Καϊνὰμ	该南
Καϊνὰμ	的
Ἐνὼς	以挪士
Ἐνὼς	的
Σὴθ	塞特
Σὴθ	的
Ἀδὰμ	亚当
Ἀδὰμ	的
Ἰησοῦς	耶稣
Ἰορδάνου	约旦
Ἰορδάνου	河
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰερουσαλὴμ	耶路撒冷
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Γαλιλαίαν	加利利
Ναζαρά	拿撒勒
Ἠσαΐου	以赛亚
Ἠσαΐου	的
Ἰωσὴφ	约瑟
Ἰωσὴφ	的
Καφαρναοὺμ	迦百农
Ἠλίου	以利亚
Ἠλίου	的
Ἰσραήλ	以色列
Ἠλίας	以利亚
Σάρεπτα	撒勒法
Ἰσραὴλ	以色列
Ἐλισαίου	以利沙
Ναιμὰν	乃缦
Σύρος	叙利亚
Σύρος	国
Καφαρναοὺμ	迦百农
Γαλιλαίας	加利利
Γαλιλαίας	的
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Σίμωνος	西门
Σίμωνος	的
Σίμωνος	西门
Σίμωνος	的
χριστὸν	基督
Γεννησαρὲτ	革尼撒勒
Σίμωνος	西门
Σίμωνος	的
Σίμωνα	西门
Σίμων	西门
Σίμων	西门
Πέτρος	彼得
Ἰησοῦ	耶稣
Ἰάκωβον	雅各
Ἰωάννην	约翰
Ζεβεδαίου	西庇太
Ζεβεδαίου	的
Σίμωνι	他
Σίμωνα	西门
Ἰησοῦς	耶稣
Ἰησοῦν	他
Μωϋσῆς	摩西
Φαρισαῖοι	法利赛
Φαρισαῖοι	有
Φαρισαῖοι	人
Γαλιλαίας	加利利
Ἰουδαίας	犹太
Ἰερουσαλήμ	耶路撒冷
Ἰησοῦ	耶稣
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰησοῦς	耶稣
Λευὶν	利未
Λευὶς	利未
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰησοῦς	耶稣
Ἰωάννου	约翰
Ἰωάννου	的
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίων	的
Ἰησοῦς	耶稣
Φαρισαίων	法利赛
Φαρισαίων	人
Ἰησοῦς	耶稣
Δαυὶδ	大卫
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰησοῦς	耶稣
Ἰησοῦ	耶稣
Σίμωνα	西门
Πέτρον	彼得
Ἀνδρέαν	安得烈
Ἰάκωβον	雅各
Ἰωάννην	约翰
Φίλιππον	腓力
Βαρθολομαῖον	巴多罗买
Μαθθαῖον	马太
Θωμᾶν	多马
Ἰάκωβον	雅各
Ἁλφαίου	亚勒腓
Ἁλφαίου	的
Σίμωνα	西门
Ἰούδαν	犹大
Ἰακώβου	雅各
Ἰακώβου	的
Ἰούδαν	犹大
Ἰσκαριώθ	加略
Ἰσκαριώθ	人
Ἰουδαίας	犹太
Ἰουδαίας	地
Ἰερουσαλὴμ	耶路撒冷
Τύρου	推罗
Σιδῶνος	西顿
Σιδῶνος	的
Καφαρναούμ	迦百农
Ἰησοῦ	耶稣
Ἰησοῦν	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰσραὴλ	以色列
Ναῒν	拿因
Ἰουδαίᾳ	犹太
Ἰωάννῃ	约翰
Ἰωάννης	他
Ἰωάννης	约翰
Ἰωάννῃ	约翰
Ἰωάννου	约翰
Ἰωάννου	约翰
Ἰωάννου	约翰
Ἰωάννου	约翰
Ἰωάννου	的
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰωάννης	约翰
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίου	法利赛
Φαρισαίου	人
Φαρισαίου	法利赛
Φαρισαίου	人
Φαρισαῖος	法利赛
Φαρισαῖος	人
Ἰησοῦς	耶稣
Σίμων	西门
Σίμων	西门
Σίμωνι	西门
Σίμωνι	对
Μαρία	马利亚
Μαγδαληνή	抹大拉
Ἰωάννα	约亚拿
Χουζᾶ	苦撒
Χουζᾶ	的
Ἡρῴδου	希律
Ἡρῴδου	的
Σουσάννα	苏撒拿
Γαλιλαίας	加利利
Γαλιλαίας	的
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Ἰησοῦν	耶稣
Ἰάϊρος	睚鲁
Ἰησοῦ	耶稣
Ἰησοῦς	耶稣
Πέτρος	彼得
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Πέτρον	彼得
Ἰωάννην	约翰
Ἰάκωβον	雅各
Ἡρῴδης	希律
Ἰωάννης	约翰
Ἠλίας	以利亚
Ἡρῴδης	希律
Ἰωάννην	约翰
Βηθσαϊδά	伯赛大
Ἰωάννην	约翰
Ἠλίαν	以利亚
Πέτρος	彼得
χριστὸν	基督
Πέτρον	彼得
Ἰωάννην	约翰
Ἰάκωβον	雅各
Μωϋσῆς	摩西
Ἠλίας	以利亚
Ἰερουσαλήμ	耶路撒冷
Πέτρος	彼得
Πέτρος	彼得
Ἰησοῦν	耶稣
Μωϋσεῖ	摩西
Μωϋσεῖ	为
Ἠλίᾳ	以利亚
Ἠλίᾳ	为
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰωάννης	约翰
Ἰησοῦς	耶稣
Ἰερουσαλήμ	耶路撒冷
Σαμαριτῶν	撒马利亚
Σαμαριτῶν	的
Ἰερουσαλήμ	耶路撒冷
Ἰάκωβος	雅各
Ἰωάννης	约翰
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Σοδόμοις	所多玛
Χοραζίν	哥拉汛
Χοραζίν	哪
Βηθσαϊδά	伯赛大
Βηθσαϊδά	啊
Τύρῳ	推罗
Σιδῶνι	西顿
Τύρῳ	推罗
Σιδῶνι	西顿
Καφαρναούμ	迦百农
Καφαρναούμ	啊
σατανᾶν	撒旦
Ἰησοῦν	耶稣
Ἰησοῦς	耶稣
Ἰερουσαλὴμ	耶路撒冷
Ἰεριχὼ	耶利哥
Λευίτης	利未
Λευίτης	有
Λευίτης	一
Λευίτης	个
Λευίτης	人
Σαμαρίτης	撒马利亚
Σαμαρίτης	人
Ἰησοῦς	耶稣
Μάρθα	马大
Μαριάμ	马利亚
Μάρθα	马大
Μάρθα	马大
Μάρθα	马大
Μαριὰμ	马利亚
Ἰωάννης	约翰
Βεελζεβοὺλ	别西卜
σατανᾶς	撒旦
Βεελζεβοὺλ	别西卜
Βεελζεβοὺλ	别西卜
Ἰωνᾶ	约拿
Ἰωνᾶ	的
Ἰωνᾶς	约拿
Νινευίταις	尼尼微
Νινευίταις	为
Νινευίταις	人
Σολομῶνος	所罗门
Σολομῶνος	的
Σολομῶνος	所罗门
Σολομῶνος	比
Νινευῖται	尼尼微
Ἰωνᾶ	约拿
Ἰωνᾶ	约拿
Ἰωνᾶ	比
Φαρισαῖος	法利赛
Φαρισαῖος	有
Φαρισαῖος	一
Φαρισαῖος	个
Φαρισαῖος	人
Φαρισαῖος	法利赛
Φαρισαῖος	人
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Φαρισαίοις	法利赛
Φαρισαίοις	人
Φαρισαίοις	法利赛
Φαρισαίοις	人
Ἅβελ	亚伯
Ἅβελ	的
Ζαχαρίου	撒迦利亚
Ζαχαρίου	的
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίων	的
Σολομὼν	所罗门
Πέτρος	彼得
Πιλᾶτος	彼拉多
Σιλωὰμ	西罗亚
Ἰερουσαλήμ	耶路撒冷
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἀβραὰμ	亚伯拉罕
Ἀβραὰμ	的
σατανᾶς	撒旦
Ἱεροσόλυμα	耶路撒冷
Ἀβραὰμ	亚伯拉罕
Ἰσαὰκ	以撒
Ἰακὼβ	雅各
Φαρισαῖοι	法利赛
Φαρισαῖοι	有
Φαρισαῖοι	人
Ἡρῴδης	希律
Ἰερουσαλήμ	耶路撒冷
Ἰερουσαλὴμ	耶路撒冷
Ἰερουσαλὴμ	啊
Ἰερουσαλήμ	耶路撒冷
Ἰερουσαλήμ	啊
Φαρισαίων	法利赛
Φαρισαίων	人
Φαρισαίων	的
Ἰησοῦς	耶稣
Φαρισαίους	法利赛
Φαρισαίους	人
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Φαρισαῖοι	法利赛
Φαρισαῖοι	人
Ἰωάννου	约翰
Λάζαρος	拉撒路
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	的
Ἀβραὰμ	亚伯拉罕
Λάζαρον	拉撒路
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	哪
Λάζαρον	拉撒路
Ἀβραάμ	亚伯拉罕
Λάζαρος	拉撒路
Ἀβραάμ	亚伯拉罕
Μωϋσέα	摩西
Ἀβραάμ	亚伯拉罕
Ἀβραάμ	哪
Μωϋσέως	摩西
Ἰερουσαλὴμ	耶路撒冷
Σαμαρείας	撒马利亚
Γαλιλαίας	加利利
Ἰησοῦ	耶稣
Σαμαρίτης	撒马利亚
Σαμαρίτης	人
Ἰησοῦς	耶稣
Φαρισαίων	法利赛
Φαρισαίων	人
Νῶε	挪亚
Νῶε	的
Νῶε	挪亚
Λώτ	罗得
Λώτ	的
Λὼτ	罗得
Σοδόμων	所多玛
Λώτ	罗得
Λώτ	的
Φαρισαῖος	法利赛
Φαρισαῖος	人
Φαρισαῖος	法利赛
Φαρισαῖος	人
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Πέτρος	彼得
Ἰερουσαλήμ	耶路撒冷
Ἰεριχὼ	耶利哥
Ἰησοῦς	耶稣
Ναζωραῖος	拿撒勒
Ναζωραῖος	人
Ἰησοῦ	耶稣
Ἰησοῦ	啊
Δαυίδ	大卫
Δαυίδ	的
Δαυίδ	大卫
Δαυίδ	的
Ἰησοῦς	耶稣
Ἰησοῦς	耶稣
Ἰεριχώ	耶利哥
Ζακχαῖος	撒该
